Year,Country Code,Fatal collisions,Serious collisions (unadjusted) ,Serious collisions (adjusted),Slight collisions (unadjusted),Slight collisions (adjusted),Total collisions,Region or country,Killed,Seriously injured (unadjusted) ,Seriously injured (adjusted),Killed or seriously injured (KSI) unadjusted,Killed or seriously injured (KSI) adjusted,Slightly injured (unadjusted),Slightly injured (adjusted),Total casualties
2016,E12000006,20,130,130,540,540,690,Eastern,20,170,170,190,190,840,830,1030
2016,E12000007,40,180,220,900,860,1130,South East,50,230,280,270,320,1420,1380,1700
2016,E12000008,10,40,60,450,430,500,London,10,50,70,60,80,620,600,680
2016,E12000009,20,90,120,510,490,620,South West,20,110,140,130,160,790,760,920
2016,E92000001,170,870,1060,4340,4140,5380,England,180,1080,1310,1260,1490,6770,6540,8030
2016,W92000004,20,50,70,210,190,280,Wales,20,70,90,90,110,340,310,420
2016,S92000003,30,60,120,320,260,410,Scotland,30,80,150,120,180,460,390,580
2016,K02000001,220,980,1260,4870,4590,6070,Great Britain,230,1230,1550,1460,1790,7570,7240,9030
2015,E12000001,10,40,50,180,160,230,North East,10,40,60,50,70,280,270,340
2015,E12000002,20,110,160,430,390,570,North West,20,130,190,160,220,710,650,870
2015,E12000003,20,90,130,410,370,510,Yorkshire and Humberside,20,100,150,120,170,690,640,810
2015,E12000004,20,90,130,420,380,530,East Midlands,20,100,150,120,170,650,610,780
2015,E12000005,20,80,100,540,520,640,West Midlands,20,110,130,130,150,910,890,1040
2015,E12000006,30,90,120,490,460,610,Eastern,30,110,140,140,170,740,700,870
2015,E12000007,20,180,230,820,770,1020,South East,20,190,250,220,280,1250,1190,1470
2015,E12000008,0,50,70,360,330,400,London,0,60,80,60,80,490,460,540
2015,E12000009,20,100,120,450,430,560,South West,20,120,150,140,170,650,630,790
2015,E92000001,150,820,1110,4110,3820,5080,England,170,970,1300,1140,1470,6370,6040,7510
2015,W92000004,10,70,90,230,210,310,Wales,10,100,130,110,140,380,350,490
2015,S92000003,20,70,120,250,210,340,Scotland,20,90,140,100,160,370,310,470
2015,K02000001,170,970,1320,4590,4230,5730,Great Britain,200,1150,1570,1350,1770,7120,6700,8470
2014,E12000001,10,30,40,190,180,230,North East,10,30,50,50,60,290,270,340
2014,E12000002,10,120,170,500,450,630,North West,10,140,210,150,220,800,740,960
2014,E12000003,20,100,130,390,350,510,Yorkshire and Humberside,30,120,160,140,190,600,550,740
2014,E12000004,20,90,130,430,390,540,East Midlands,20,110,150,130,170,640,600,770
2014,E12000005,20,70,110,500,460,590,West Midlands,20,90,130,120,160,790,750,910
2014,E12000006,30,90,120,500,460,620,Eastern,40,100,140,140,180,760,720,900
2014,E12000007,30,160,210,760,710,950,South East,30,210,270,240,300,1160,1100,1400
2014,E12000008,0,30,50,310,290,340,London,0,30,50,40,60,440,420,480
2014,E12000009,30,80,100,430,410,550,South West,40,90,120,140,160,630,610,770
2014,E92000001,190,770,1070,4000,3710,4960,England,210,940,1290,1150,1500,6110,5760,7260
2014,W92000004,10,50,80,250,230,320,Wales,10,60,90,80,100,410,380,480
2014,S92000003,20,50,100,270,220,340,Scotland,20,70,130,80,140,380,320,470
2014,K02000001,220,870,1250,4530,4160,5620,Great Britain,240,1070,1510,1310,1740,6900,6460,8210
2013,E12000001,20,30,40,160,150,200,North East,20,30,50,50,70,270,250,320
2013,E12000002,30,110,170,520,470,660,North West,30,140,210,170,230,860,800,1030
2013,E12000003,30,120,160,390,350,540,Yorkshire and Humberside,30,160,210,190,240,650,600,840
2013,E12000004,20,80,120,470,430,570,East Midlands,20,90,140,110,160,690,640,810
2013,E12000005,20,60,90,480,450,560,West Midlands,20,80,110,100,130,720,690,820
2013,E12000006,30,100,140,490,460,620,Eastern,30,130,170,160,200,740,700,900
2013,E12000007,30,140,190,780,740,960,South East,30,170,230,200,260,1130,1080,1340
2013,E12000008,10,40,60,300,280,350,London,10,50,70,60,80,420,400,480
2013,E12000009,20,80,100,450,420,550,South West,30,100,130,130,150,650,620,770
2013,E92000001,200,760,1070,4050,3750,5010,England,210,950,1320,1160,1530,6140,5780,7310
2013,W92000004,10,60,80,280,260,350,Wales,10,70,100,90,120,430,400,520
2013,S92000003,10,50,100,260,210,320,Scotland,20,70,130,90,140,360,310,450
2013,K02000001,230,870,1250,4590,4220,5690,Great Britain,240,1100,1550,1340,1790,6930,6490,8270
2012,E12000001,10,30,50,210,190,260,North East,10,40,60,60,80,370,350,420
2012,E12000002,20,120,180,610,550,750,North West,20,140,200,160,230,980,910,1140
2012,E12000003,20,100,150,500,450,630,Yorkshire and Humberside,30,140,200,170,230,810,750,980
2012,E12000004,20,100,150,510,460,640,East Midlands,30,130,190,160,210,840,790,1000
2012,E12000005,30,90,120,590,550,710,West Midlands,30,110,160,140,190,960,910,1100
2012,E12000006,20,100,140,610,570,720,Eastern,20,130,170,150,190,920,880,1070
2012,E12000007,30,140,200,920,870,1090,South East,30,160,230,190,260,1380,1320,1580
2012,E12000008,10,50,70,320,300,370,London,10,60,80,60,90,470,450,540
2012,E12000009,30,80,110,550,530,660,South West,30,110,140,140,170,810,790,960
2012,E92000001,190,820,1170,4810,4470,5820,England,210,1020,1440,1230,1640,7550,7140,8790
2012,W92000004,10,50,80,300,280,370,Wales,10,70,100,80,120,480,450,560
2012,S92000003,10,90,150,340,290,440,Scotland,10,100,170,110,180,470,410,580
2012,K02000001,210,960,1390,5460,5030,6630,Great Britain,230,1200,1710,1430,1940,8510,8000,9930
2011,E12000001,0,40,50,210,200,250,North East,10,40,60,50,70,350,320,390
2011,E12000002,30,130,190,550,490,710,North West,30,170,240,200,270,960,890,1160
2011,E12000003,20,110,170,520,460,650,Yorkshire and Humberside,20,140,210,160,230,890,820,1050
2011,E12000004,20,100,150,560,510,680,East Midlands,20,120,170,140,200,850,800,990
2011,E12000005,20,90,140,670,630,780,West Midlands,20,120,180,140,200,970,920,1110
2011,E12000006,20,120,160,550,510,690,Eastern,30,150,190,170,220,860,820,1030
2011,E12000007,40,170,230,900,850,1110,South East,40,210,270,260,320,1310,1250,1570
2011,E12000008,10,50,80,300,270,360,London,10,60,90,70,100,460,430,520
2011,E12000009,20,80,110,500,480,610,South West,30,100,120,120,150,740,720,870
2011,E92000001,190,910,1280,4760,4390,5860,England,210,1100,1540,1310,1740,7400,6960,8700
2011,W92000004,10,60,90,270,250,350,Wales,10,80,110,90,120,460,430,550
2011,S92000003,10,70,150,400,330,490,Scotland,10,90,170,100,190,570,480,670
2011,K02000001,220,1040,1510,5430,4960,6690,Great Britain,240,1270,1820,1500,2050,8420,7870,9930
2010,E12000001,10,50,70,240,230,300,North East,10,60,80,70,90,370,350,440
2010,E12000002,30,120,180,580,520,730,North West,30,150,220,180,250,930,860,1110
2010,E12000003,20,90,120,380,350,490,Yorkshire and Humberside,20,110,150,130,170,590,550,720
2010,E12000004,20,100,140,520,470,640,East Midlands,30,130,180,160,210,770,720,940
2010,E12000005,10,90,130,660,620,760,West Midlands,10,100,150,110,150,980,930,1090
2010,E12000006,20,130,170,570,540,720,Eastern,20,150,190,170,210,870,830,1050
2010,E12000007,50,150,210,890,830,1090,South East,50,190,250,250,310,1320,1260,1570
2010,E12000008,10,40,70,320,300,370,London,10,50,80,60,80,470,440,530
2010,E12000009,30,80,100,500,480,610,South West,30,110,130,130,160,770,750,910
2010,E92000001,190,850,1180,4660,4340,5710,England,210,1050,1430,1260,1640,7080,6700,8340
2010,W92000004,10,50,80,320,290,380,Wales,10,80,110,90,120,520,490,610
2010,S92000003,10,80,160,440,360,530,Scotland,10,110,210,130,220,610,520,740
2010,K02000001,220,990,1420,5420,4990,6620,Great Britain,240,1240,1740,1480,1980,8210,7710,9690
